field_name,family,live_capability_status,frl_dictionary,frl_grains,frl_source_surfaces,semantic_status,reason
goalsConcededInsideBox,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
goalsConcededOutsideBox,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
interceptions,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
offsides,Discipline & Offside,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
openPlayPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
penaltiesConceded,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
penaltiesSaved,Review,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
penaltyGoals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
penaltyGoalsConceded,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
pointsDroppedFromWinningPositions,Finishing & Goals,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
pointsGainedFromLosingPositions,Finishing & Goals,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
possessionPercentage,Possession,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
shotsOffTargetIncWoodwork,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
shotsOnConcededInsideBox,Shooting,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
shotsOnConcededOutsideBox,Shooting,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
shotsOnTargetIncGoals,Finishing & Goals,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulCornersIntoBox,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulCrossesAndCorners,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulCrossesOpenPlay,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulDribbles,Dribbling,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulLaunches,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulLayoffs,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulLongPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulOpenPlayPasses,Passing & Territory,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
successfulPassesOppositionHalf,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulPassesOwnHalf,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
successfulShortPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
tackleSuccess,Defending,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
tacklesLost,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
tacklesWon,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
touchesInOppBox,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,team_match,FRL_LOCAL_CSV,TEAM_GRAIN_MATCH_REVIEW,FRL contains the field at a team-like grain; exact team-season semantic equivalence still requires validation.
unsuccessfulCornersIntoBox,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulCrossesAndCorners,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulCrossesOpenPlay,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulDribbles,Dribbling,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulLaunches,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulLayoffs,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulLongPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulPassesOppositionHalf,Passing & Territory,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,,GENUINELY_NEW,No exact FRL dictionary row for this native field name.
unsuccessfulPassesOwnHalf,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
unsuccessfulShortPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,FRL_LOCAL_CSV,NONTEAM_ONLY,FRL exact-name matches exist only at non-team grains.
