field_name,source_surface,resource,grain,field_type,semantic_status,relationship_kind,identity_contract,source_identity_required,player_attachment_status,fixture_attachment_status,team_attachment_status,matrix_attachment_status,coverage_player_status,coverage_fixture_status,coverage_club_status,attachment_basis,provenance_requirement,player_reason_code,player_evidence_semantic,player_evidence_source,fixture_reason_code,fixture_evidence_semantic,fixture_evidence_source,team_reason_code,team_evidence_semantic,team_evidence_source
accurateKeeperThrows,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateLaunches,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateLayoffs,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.
accurateOwnHalfPasses,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.
accuratePass,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-match observations require verified player and fixture identity.
accuratePullBack,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateThroughBall,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
accurateThrows,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
aerialDuels,FRL_LOCAL_CSV,player_season,player_season,unknown,exposed,ENTITY,source_player_identity_to_player_season,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.
aerialDuelsLost,FRL_LOCAL_CSV,player_season,player_season,unknown,exposed,ENTITY,source_player_identity_to_player_season,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.
aerialDuelsWon,FRL_LOCAL_CSV,player_season,player_season,unknown,exposed,ENTITY,source_player_identity_to_player_season,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.
aerialLost,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
aerialWon,FRL_LOCAL_CSV,player_match,player_match,unknown,exposed,OBSERVATION,player_identity_to_player_match_observations,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
age,FRL_LOCAL_CSV,squad,squad,unknown,retained,UNKNOWN,,FALSE,NOT_ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_LINEAGE_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,retained,frl_variable_dictionary: No deterministic relationship contract mapping; manual review required.,ATTACHMENT_NOT_ESTABLISHED,retained,frl_variable_dictionary: No deterministic relationship contract mapping; manual review required.,ATTACHMENT_NOT_ESTABLISHED,retained,frl_variable_dictionary: No deterministic relationship contract mapping; manual review required.
appearances,FRL_LOCAL_CSV,player_season,player_season,unknown,exposed,ENTITY,source_player_identity_to_player_season,TRUE,REVIEW,NOT_ESTABLISHED,NOT_ESTABLISHED,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_REVIEW,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.,ATTACHMENT_NOT_ESTABLISHED,exposed,frl_variable_dictionary: Player-season rows require season-aware source-player identity.
attAssistOpenplay,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attAssistSetplay,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attCorner,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attFastbreak,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attFreekickGoal,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attFreekickMiss,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attFreekickPost,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attFreekickTarget,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attFreekickTotal,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attIboxOwnGoal,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attLgCentre,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attLgLeft,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attLgRight,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attOboxOwnGoal,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attObxdLeft,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attObxdRight,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attOneOnOne,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
attOpenplay,FRL_LOCAL_CSV,team_match,team_match,unknown,UNCATALOGUED,OBSERVATION,canonical_team_season_to_source_team,TRUE,NOT_ESTABLISHED,REVIEW,REVIEW,,,,,,SOURCE_ID_REQUIRED,ATTACHMENT_NOT_ESTABLISHED,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.,ATTACHMENT_REVIEW,UNCATALOGUED,frl_variable_dictionary: Team-match source statistics attach through the verified team-fixture relationship.
