field_name,family,live_status,frl_dictionary_path,frl_grains,semantic_status,reason
tacklesWon,Defending,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
touchesInOppBox,Shooting,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,team_match,SUPERFICIAL_NAME_MATCH_REVIEW,Exact field exists in FRL with a team-like grain; team-season semantic equivalence still requires explicit verification.
unsuccessfulCornersIntoBox,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulCrossesAndCorners,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulCrossesOpenPlay,Crossing & Set Pieces,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulDribbles,Dribbling,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulLaunches,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulLayoffs,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulLongPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulPassesOppositionHalf,Passing & Territory,NEW_SOURCE_CAPABILITY,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,,GENUINELY_NEW_BY_NAME,No exact field-name row found in the FRL variable dictionary.
unsuccessfulPassesOwnHalf,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
unsuccessfulShortPasses,Passing & Territory,EXISTING_FIELD,C:\Users\dlall\football_database\frl-source-audit\data\frl_variable_dictionary.csv,player_season,NAME_MATCH_NONTEAM_GRAIN,Exact field exists only at non-team grains in the FRL dictionary.
