path,type,target_field_hits,likely_key_hits
players\Calvin_Ramsay_489580\2025-26_gw_stats.csv,csv,position,
players\Caoimhín_Kelleher_200720\2025-26_gw_stats.csv,csv,position,
players\Carl_Rushworth_472739\2025-26_gw_stats.csv,csv,position,
players\Carlos_Alcaraz_Durán_502697\2025-26_gw_stats.csv,csv,position,
players\Carlos_Baleba_535301\2025-26_gw_stats.csv,csv,position,
players\Carlos_Henrique_Casimiro_61256\2025-26_gw_stats.csv,csv,position,
players\Carlos_Miguel_dos_Santos_Pereira_475123\2025-26_gw_stats.csv,csv,position,
players\Chadi_Riad_Dnanou_515621\2025-26_gw_stats.csv,csv,position,
players\Charalampos_Kostoulas_647850\2025-26_gw_stats.csv,csv,position,
players\Charlie_Crew_536119\2025-26_gw_stats.csv,csv,position,
players\Charlie_Gray_516234\2025-26_gw_stats.csv,csv,position,
players\Charlie_Stevens_658013\2025-26_gw_stats.csv,csv,position,
players\Charlie_Tasker_547720\2025-26_gw_stats.csv,csv,position,
players\Cheick_Doucouré_438464\2025-26_gw_stats.csv,csv,position,
players\Chemsdine_Talbi_549912\2025-26_gw_stats.csv,csv,position,
players\Chido_Obi_596047\2025-26_gw_stats.csv,csv,position,
players\Chris_Mepham_223911\2025-26_gw_stats.csv,csv,position,
players\Chris_Richards_427623\2025-26_gw_stats.csv,csv,position,
players\Chris_Rigg_554197\2025-26_gw_stats.csv,csv,position,
players\Chris_Wood_60689\2025-26_gw_stats.csv,csv,position,
players\Christantus_Uche_660392\2025-26_gw_stats.csv,csv,position,
players\Christian_Nørgaard_128295\2025-26_gw_stats.csv,csv,position,
players\Christopher_Nkunku_213198\2025-26_gw_stats.csv,csv,position,
players\Christos_Mandas_436416\2025-26_gw_stats.csv,csv,position,
players\Claudio_Echeverri_575204\2025-26_gw_stats.csv,csv,position,
players\Coby_Ebere_504296\2025-26_gw_stats.csv,csv,position,
players\Cody_Gakpo_243298\2025-26_gw_stats.csv,csv,position,
players\Cole_Palmer_244851\2025-26_gw_stats.csv,csv,position,
players\Connor_Roberts_192290\2025-26_gw_stats.csv,csv,position,
players\Conor_Bradley_492777\2025-26_gw_stats.csv,csv,position,
players\Conor_Gallagher_232787\2025-26_gw_stats.csv,csv,position,
players\Conor_McManus_587433\2025-26_gw_stats.csv,csv,position,
players\Cristhian_Mosquera_500040\2025-26_gw_stats.csv,csv,position,
players\Cristian_Romero_221632\2025-26_gw_stats.csv,csv,position,
players\Crysencio_Summerville_450070\2025-26_gw_stats.csv,csv,position,
players\Curtis_Jones_206915\2025-26_gw_stats.csv,csv,position,
players\Daichi_Kamada_209400\2025-26_gw_stats.csv,csv,position,
players\Dan_Burn_78916\2025-26_gw_stats.csv,csv,position,
players\Dan_Ndoye_456512\2025-26_gw_stats.csv,csv,position,
players\Dan_Neil_223336\2025-26_gw_stats.csv,csv,position,
players\Dane_Scarlett_490145\2025-26_gw_stats.csv,csv,position,
players\Dango_Ouattara_533463\2025-26_gw_stats.csv,csv,position,
players\Daniel_Adu-Adjei_590760\2025-26_gw_stats.csv,csv,position,
players\Daniel_Ballard_223827\2025-26_gw_stats.csv,csv,position,
players\Daniel_Bentley_79602\2025-26_gw_stats.csv,csv,position,
players\Daniel_James_200617\2025-26_gw_stats.csv,csv,position,
players\Daniel_Muñoz_Mejía_247348\2025-26_gw_stats.csv,csv,position,
players\Danny_Imray_502988\2025-26_gw_stats.csv,csv,position,
players\Danny_Welbeck_50175\2025-26_gw_stats.csv,csv,position,
players\Darko_Churlinov_250735\2025-26_gw_stats.csv,csv,position,
players\Darko_Gyabi_470294\2025-26_gw_stats.csv,csv,position,
players\Darwin_Núñez_Ribeiro_447203\2025-26_gw_stats.csv,csv,position,
players\David_Brooks_111317\2025-26_gw_stats.csv,csv,position,
players\David_Mota_Veiga_Teixeira_do_Carmo_451432\2025-26_gw_stats.csv,csv,position,
players\David_Møller_Wolfe_497949\2025-26_gw_stats.csv,csv,position,
players\David_Ozoh_531989\2025-26_gw_stats.csv,csv,position,
players\David_Raya_Martín_154561\2025-26_gw_stats.csv,csv,position,
players\Dean_Benamar_643426\2025-26_gw_stats.csv,csv,position,
players\Dean_Henderson_172649\2025-26_gw_stats.csv,csv,position,
players\Declan_Rice_204480\2025-26_gw_stats.csv,csv,position,
players\Dejan_Kulusevski_445044\2025-26_gw_stats.csv,csv,position,
players\Dennis_Cirkin_461195\2025-26_gw_stats.csv,csv,position,
players\Dermot_Mee_461537\2025-26_gw_stats.csv,csv,position,
players\Destiny_Udogie_487053\2025-26_gw_stats.csv,csv,position,
players\Diego_Coppola_550090\2025-26_gw_stats.csv,csv,position,
players\Diego_Gómez_Amarilla_514254\2025-26_gw_stats.csv,csv,position,
players\Diego_León_Blanco_661712\2025-26_gw_stats.csv,csv,position,
players\Dilane_Bakwa_476887\2025-26_gw_stats.csv,csv,position,
players\Diogo_Dalot_Teixeira_216051\2025-26_gw_stats.csv,csv,position,
players\Divine_Mukasa_590039\2025-26_gw_stats.csv,csv,position,
players\Djed_Spence_232859\2025-26_gw_stats.csv,csv,position,
players\Djiamgone_Jocelin_Ta_Bi_699989\2025-26_gw_stats.csv,csv,position,
players\Dominic_Calvert-Lewin_177815\2025-26_gw_stats.csv,csv,position,
players\Dominic_Sadi_550596\2025-26_gw_stats.csv,csv,position,
players\Dominic_Solanke-Mitchell_154566\2025-26_gw_stats.csv,csv,position,
players\Dominik_Szoboszlai_424876\2025-26_gw_stats.csv,csv,position,
players\Donyell_Malen_204646\2025-26_gw_stats.csv,csv,position,
players\Douglas_Luiz_Soares_de_Paulo_230046\2025-26_gw_stats.csv,csv,position,
players\Dwight_McNeil_433154\2025-26_gw_stats.csv,csv,position,
players\Dário_Luís_Essugo_491007\2025-26_gw_stats.csv,csv,position,
players\Eberechi_Eze_232413\2025-26_gw_stats.csv,csv,position,
players\Eddie_Nketiah_205533\2025-26_gw_stats.csv,csv,position,
players\Ederson_Santana_de_Moraes_121160\2025-26_gw_stats.csv,csv,position,
players\Edson_Álvarez_Velázquez_213999\2025-26_gw_stats.csv,csv,position,
players\Eiran_Cashin_439135\2025-26_gw_stats.csv,csv,position,
players\El_Hadji_Malick_Diouf_613804\2025-26_gw_stats.csv,csv,position,
players\Eliezer_Mayenda_Dossou_564406\2025-26_gw_stats.csv,csv,position,
players\Elijah_Campbell_491745\2025-26_gw_stats.csv,csv,position,
players\Ellery_Balcombe_235448\2025-26_gw_stats.csv,csv,position,
players\Elliot_Anderson_215379\2025-26_gw_stats.csv,csv,position,
players\Elyh_Harrison_588555\2025-26_gw_stats.csv,csv,position,
players\Emerson_Palmieri_dos_Santos_109533\2025-26_gw_stats.csv,csv,position,
players\Emil_Krafth_111773\2025-26_gw_stats.csv,csv,position,
players\Emile_Smith_Rowe_209289\2025-26_gw_stats.csv,csv,position,
players\Emiliano_Buendía_Stati_195546\2025-26_gw_stats.csv,csv,position,
players\Emiliano_Martínez_Romero_98980\2025-26_gw_stats.csv,csv,position,
players\Emmanuel_Agbadou_516939\2025-26_gw_stats.csv,csv,position,
players\Endo_Wataru_158983\2025-26_gw_stats.csv,csv,position,
players\Enes_Ünal_168636\2025-26_gw_stats.csv,csv,position,
players\Enock_Agyei_578614\2025-26_gw_stats.csv,csv,position,
players\Enso_González_Medina_593001\2025-26_gw_stats.csv,csv,position,
players\Enzo_Barrenechea_491287\2025-26_gw_stats.csv,csv,position,
players\Enzo_Fernández_448047\2025-26_gw_stats.csv,csv,position,
players\Enzo_Le_Fée_484420\2025-26_gw_stats.csv,csv,position,
players\Eric_da_Silva_Moreira_569014\2025-26_gw_stats.csv,csv,position,
players\Erling_Haaland_223094\2025-26_gw_stats.csv,csv,position,
players\Estêvão_Almeida_de_Oliveira_Gonçalves_624773\2025-26_gw_stats.csv,csv,position,
players\Ethan_Ampadu_199598\2025-26_gw_stats.csv,csv,position,
players\Ethan_Nwaneri_499175\2025-26_gw_stats.csv,csv,position,
players\Ethan_Pinnock_231065\2025-26_gw_stats.csv,csv,position,
players\Ethan_Sutherland_589121\2025-26_gw_stats.csv,csv,position,
players\Ethan_Wheatley_575034\2025-26_gw_stats.csv,csv,position,
players\Etienne_Green_489571\2025-26_gw_stats.csv,csv,position,
players\Evan_Ferguson_487117\2025-26_gw_stats.csv,csv,position,
players\Evann_Guessand_485337\2025-26_gw_stats.csv,csv,position,
players\Ezra_Mayers_602903\2025-26_gw_stats.csv,csv,position,
players\Ezri_Konsa_Ngoyo_199798\2025-26_gw_stats.csv,csv,position,
players\Fabian_Schär_119471\2025-26_gw_stats.csv,csv,position,
players\Facundo_Buonanotte_536916\2025-26_gw_stats.csv,csv,position,
players\Federico_Chiesa_223541\2025-26_gw_stats.csv,csv,position,
players\Felipe_Rodrigues_da_Silva_485047\2025-26_gw_stats.csv,csv,position,
players\Fer_López_González_643135\2025-26_gw_stats.csv,csv,position,
players\Ferdi_Kadıoğlu_231416\2025-26_gw_stats.csv,csv,position,
players\Filip_Jörgensen_508479\2025-26_gw_stats.csv,csv,position,
players\Filip_Marschall_462381\2025-26_gw_stats.csv,csv,position,
players\Finlay_Herrick_553742\2025-26_gw_stats.csv,csv,position,
players\Florentino_Ibrain_Morris_Luís_216055\2025-26_gw_stats.csv,csv,position,
players\Florian_Wirtz_494595\2025-26_gw_stats.csv,csv,position,
players\Francisco_Evanilson_de_Lima_Barbosa_444102\2025-26_gw_stats.csv,csv,position,
players\Franco_Umeh-Chibueze_574398\2025-26_gw_stats.csv,csv,position,
players\Frank_Onyeka_428580\2025-26_gw_stats.csv,csv,position,
players\Fraser_Forster_40383\2025-26_gw_stats.csv,csv,position,
players\Freddie_Potts_490142\2025-26_gw_stats.csv,csv,position,
players\Freddie_Simmonds_604988\2025-26_gw_stats.csv,csv,position,
players\Freddie_Woodman_155503\2025-26_gw_stats.csv,csv,position,
players\Fábio_Ferreira_Vieira_438098\2025-26_gw_stats.csv,csv,position,
players\Fábio_Freitas_Gouveia_Carvalho_244858\2025-26_gw_stats.csv,csv,position,
players\Fábio_Soares_Silva_449988\2025-26_gw_stats.csv,csv,position,
players\Gabriel_Fernando_de_Jesus_205651\2025-26_gw_stats.csv,csv,position,
players\Gabriel_Gudmundsson_243526\2025-26_gw_stats.csv,csv,position,
players\Gabriel_Martinelli_Silva_444145\2025-26_gw_stats.csv,csv,position,
players\Gabriel_Słonina_471798\2025-26_gw_stats.csv,csv,position,
players\Gabriel_dos_Santos_Magalhães_226597\2025-26_gw_stats.csv,csv,position,
players\Garang_Kuol_564510\2025-26_gw_stats.csv,csv,position,
players\George_Brierley_704232\2025-26_gw_stats.csv,csv,position,
players\George_Earthy_490885\2025-26_gw_stats.csv,csv,position,
players\George_Hemmings_577285\2025-26_gw_stats.csv,csv,position,
players\George_King_591384\2025-26_gw_stats.csv,csv,position,
players\Georginio_Rutter_463067\2025-26_gw_stats.csv,csv,position,
players\Gianluigi_Donnarumma_204936\2025-26_gw_stats.csv,csv,position,
players\Giorgi_Mamardashvili_449027\2025-26_gw_stats.csv,csv,position,
players\Giovanni_Leoni_647681\2025-26_gw_stats.csv,csv,position,
players\Godwill_Kukonki_576637\2025-26_gw_stats.csv,csv,position,
players\Gonçalo_Manuel_Ganchinho_Guedes_181284\2025-26_gw_stats.csv,csv,position,
players\Granit_Xhaka_84450\2025-26_gw_stats.csv,csv,position,
players\Guglielmo_Vicario_184254\2025-26_gw_stats.csv,csv,position,
players\Guido_Rodríguez_197024\2025-26_gw_stats.csv,csv,position,
players\Gustavo_Nunes_Fernandes_Gomes_626464\2025-26_gw_stats.csv,csv,position,
players\Habib_Diarra_547027\2025-26_gw_stats.csv,csv,position,
players\Hamed_Traorè_424044\2025-26_gw_stats.csv,csv,position,
players\Hannes_Delcroix_247245\2025-26_gw_stats.csv,csv,position,
players\Hannibal_Mejbri_465527\2025-26_gw_stats.csv,csv,position,
players\Harrison_Armstrong_609873\2025-26_gw_stats.csv,csv,position,
players\Harrison_Ashby_441024\2025-26_gw_stats.csv,csv,position,
players\Harrison_Jones_547410\2025-26_gw_stats.csv,csv,position,
players\Harrison_Reed_153366\2025-26_gw_stats.csv,csv,position,
players\Harry_Amass_577974\2025-26_gw_stats.csv,csv,position,
players\Harry_Gray_600882\2025-26_gw_stats.csv,csv,position,
players\Harry_Howell_597320\2025-26_gw_stats.csv,csv,position,
players\Harry_Maguire_95658\2025-26_gw_stats.csv,csv,position,
players\Harry_Tyrer_447325\2025-26_gw_stats.csv,csv,position,
players\Harry_Wilson_153682\2025-26_gw_stats.csv,csv,position,
players\Harvey_Barnes_201666\2025-26_gw_stats.csv,csv,position,
players\Harvey_Elliott_444884\2025-26_gw_stats.csv,csv,position,
players\Hjalmar_Ekdal_478969\2025-26_gw_stats.csv,csv,position,
players\Hugo_Bueno_López_490721\2025-26_gw_stats.csv,csv,position,
players\Hugo_Ekitiké_510663\2025-26_gw_stats.csv,csv,position,
players\Hwang_Hee-chan_184754\2025-26_gw_stats.csv,csv,position,
players\Hákon_Rafn_Valdimarsson_507433\2025-26_gw_stats.csv,csv,position,
players\Ian_Maatsen_441302\2025-26_gw_stats.csv,csv,position,
players\Ian_Poveda-Ocampo_215460\2025-26_gw_stats.csv,csv,position,
players\Ibrahim_Sangaré_210462\2025-26_gw_stats.csv,csv,position,
players\Ibrahima_Konaté_204716\2025-26_gw_stats.csv,csv,position,
players\Idrissa_Gana_Gueye_80801\2025-26_gw_stats.csv,csv,position,
players\Igor_Jesus_Maciel_da_Cruz_482973\2025-26_gw_stats.csv,csv,position,
players\Igor_Julio_dos_Santos_de_Paulo_223434\2025-26_gw_stats.csv,csv,position,
players\Igor_Thiago_Nascimento_Rodrigues_502500\2025-26_gw_stats.csv,csv,position,
players\Ilia_Gruev_486520\2025-26_gw_stats.csv,csv,position,
players\Iliman_Ndiaye_440993\2025-26_gw_stats.csv,csv,position,
players\Illan_Meslier_437495\2025-26_gw_stats.csv,csv,position,
players\Illia_Zabarnyi_477580\2025-26_gw_stats.csv,csv,position,
players\Isaac_Hayden_153127\2025-26_gw_stats.csv,csv,position,
players\Isaac_Heath_496279\2025-26_gw_stats.csv,csv,position,
players\Isaac_Schmidt_492368\2025-26_gw_stats.csv,csv,position,
players\Ismaïla_Sarr_232185\2025-26_gw_stats.csv,csv,position,
players\Ismeal_Kabia_588796\2025-26_gw_stats.csv,csv,position,
players\Issa_Diop_219924\2025-26_gw_stats.csv,csv,position,
players\Iwan_Morgan_533710\2025-26_gw_stats.csv,csv,position,
players\Jack_Fletcher_547037\2025-26_gw_stats.csv,csv,position,
players\Jack_Grealish_114283\2025-26_gw_stats.csv,csv,position,
players\Jack_Harrison_221399\2025-26_gw_stats.csv,csv,position,
players\Jack_Hinshelwood_532529\2025-26_gw_stats.csv,csv,position,
players\Jack_Moorhouse_559684\2025-26_gw_stats.csv,csv,position,
players\Jack_Whittaker_570929\2025-26_gw_stats.csv,csv,position,
players\Jackson_Tchatchoua_523705\2025-26_gw_stats.csv,csv,position,
players\Jacob_Bruun_Larsen_179458\2025-26_gw_stats.csv,csv,position,
players\Jacob_Murphy_114243\2025-26_gw_stats.csv,csv,position,
players\Jacob_Ramsey_232653\2025-26_gw_stats.csv,csv,position,
players\Jacob_Slater_589100\2025-26_gw_stats.csv,csv,position,
players\Jadon_Sancho_209243\2025-26_gw_stats.csv,csv,position,
players\Jaidon_Anthony_444180\2025-26_gw_stats.csv,csv,position,
players\Jair_Paula_da_Cunha_Filho_575458\2025-26_gw_stats.csv,csv,position,
players\Jaka_Bijol_434752\2025-26_gw_stats.csv,csv,position,
players\Jake_OBrien_512462\2025-26_gw_stats.csv,csv,position,
players\Jakub_Kiwior_440854\2025-26_gw_stats.csv,csv,position,
players\Jamaal_Lascelles_101148\2025-26_gw_stats.csv,csv,position,
players\Jamaldeen_Jimoh-Aloba_559962\2025-26_gw_stats.csv,csv,position,
players\James_Garner_232928\2025-26_gw_stats.csv,csv,position,
players\James_Hill_463981\2025-26_gw_stats.csv,csv,position,
players\James_Justin_220627\2025-26_gw_stats.csv,csv,position,
players\James_Maddison_172780\2025-26_gw_stats.csv,csv,position,
players\James_McAtee_432714\2025-26_gw_stats.csv,csv,position,
players\James_McConnell_491501\2025-26_gw_stats.csv,csv,position,
players\James_Milner_15157\2025-26_gw_stats.csv,csv,position,
players\James_Rowswell_499716\2025-26_gw_stats.csv,csv,position,
players\James_Tarkowski_17761\2025-26_gw_stats.csv,csv,position,
players\James_Trafford_432720\2025-26_gw_stats.csv,csv,position,
players\James_Ward-Prowse_101178\2025-26_gw_stats.csv,csv,position,
players\James_Wilson_613232\2025-26_gw_stats.csv,csv,position,
players\James_Wright_481283\2025-26_gw_stats.csv,csv,position,
players\Jamie_Bynoe-Gittens_463936\2025-26_gw_stats.csv,csv,position,
players\Jan_Paul_van_Hecke_469142\2025-26_gw_stats.csv,csv,position,
players\Jarrad_Branthwaite_480455\2025-26_gw_stats.csv,csv,position,
players\Jarrod_Bowen_178186\2025-26_gw_stats.csv,csv,position,
players\Jason_Steele_49262\2025-26_gw_stats.csv,csv,position,
players\Jay_Matete_493837\2025-26_gw_stats.csv,csv,position,
players\Jayce_Fitzgerald_556639\2025-26_gw_stats.csv,csv,position,
