season,source_player_id,team_name,display_name,first_name,last_name,nationality,nationality_code,birth_date,birth_country,preferred_foot,height_cm,weight_kg,shirt_number,join_date,on_loan,source_file
2016-17,12413,Leicester,Robert Huth,Robert,Huth,Germany,DE,1984-08-18,,,191.0,99.0,6,2015-06-24,False,Leicester_13/squad/2016-17_squad.csv
2016-17,12496,Middlesbrough,Víctor Valdés,Víctor,Valdés,Spain,ES,1982-01-14,Spain,Right,183,78,26.0,2016-07-01,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,12679,Hull,Michael Dawson,Michael,Dawson,England,GB-ENG,1983-11-18,,,188.0,76.0,21,2014-08-26,False,Hull_88/squad/2016-17_squad.csv
2016-17,12745,Everton,Leighton Baines,Leighton,Baines,England,GB-ENG,1984-12-11,England,,170,74,3.0,2007-08-07,False,Everton_11/squad/2016-17_squad.csv
2016-17,12813,Stoke,Jonathan Walters,Jonathan,Walters,Ireland,IE,1983-09-20,,,183.0,79.0,19,2010-08-18,False,Stoke_110/squad/2016-17_squad.csv
2016-17,13017,Man Utd,Wayne Rooney,Wayne,Rooney,England,GB-ENG,1985-10-24,England,,176.0,83.0,10.0,2004-08-31,False,Man_Utd_1/squad/2016-17_squad.csv
2016-17,13152,Leicester,Andy King,Andy,King,Wales,GB-WLS,1988-10-29,England,Right,184.0,79.0,10,2007-07-01,False,Leicester_13/squad/2016-17_squad.csv
2016-17,14295,West Brom,Darren Fletcher,Darren,Fletcher,Scotland,GB-SCT,1984-02-01,,,183.0,83.0,24,2015-02-02,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,14664,Man City,Yaya Touré,Gnegneri Yaya,Touré,Cote d’Ivoire,CI,1983-05-13,Côte d'Ivoire,,188,90,42.0,2010-07-02,False,Man_City_43/squad/2016-17_squad.csv
2016-17,15033,Leicester,Wes Morgan,Wes,Morgan,Jamaica,JM,1984-01-21,England,Right,186.0,101.0,5,2012-01-30,False,Leicester_13/squad/2016-17_squad.csv
2016-17,15109,Hull,Tom Huddlestone,Tom,Huddlestone,England,GB-ENG,1986-12-28,,,188.0,80.0,8,2013-08-14,False,Hull_88/squad/2016-17_squad.csv
2016-17,15114,Swansea,Leon Britton,Leon,Britton,England,GB-ENG,1982-09-16,,,168,64.0,7,2011-01-20,False,Swansea_80/squad/2016-17_squad.csv
2016-17,15144,Hull,David Marshall,David,Marshall,Scotland,GB-SCT,1985-03-05,,,190.0,83.0,12,2016-08-30,False,Hull_88/squad/2016-17_squad.csv
2016-17,15149,Bournemouth,Simon Francis,Simon,Francis,England,GB-ENG,1985-02-16,,,183.0,90.0,2.0,2012-01-06,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,15157,Liverpool,James Milner,James,Milner,England,GB-ENG,1986-01-04,England,,175.0,70.0,7,2015-07-01,False,Liverpool_14/squad/2016-17_squad.csv
2016-17,15237,Bournemouth,Andrew Surman,Andrew,Surman,England,GB-ENG,1986-08-20,South Africa,,178.0,73.0,6.0,2014-09-01,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,15276,Burnley,Joey Barton,Joey,Barton,England,GB-ENG,1982-09-02,,,172,70,19.0,2017-01-02,False,Burnley_90/squad/2016-17_squad.csv
2016-17,15633,Middlesbrough,Alex Baptiste,Alex,Baptiste,England,GB-ENG,1986-01-31,,,180,74,15.0,2015-07-07,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,15749,Man City,Joe Hart,Joe,Hart,England,GB-ENG,1987-04-19,England,,196,91,,2006-07-01,False,Man_City_43/squad/2016-17_squad.csv
2016-17,15885,Bournemouth,Adam Federici,Adam,Federici,Australia,AU,1985-01-31,Australia,,188.0,90.0,32.0,2015-07-01,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,15944,Burnley,Michael Kightly,Michael,Kightly,England,GB-ENG,1986-01-24,,,173,71,11.0,2014-07-01,False,Burnley_90/squad/2016-17_squad.csv
2016-17,15982,Burnley,Dean Marney,Dean,Marney,England,GB-ENG,1984-01-31,,,183,72,8.0,2010-07-01,False,Burnley_90/squad/2016-17_squad.csv
2016-17,16045,Watford,Ben Watson,Ben,Watson,England,GB-ENG,1985-07-09,,,178.0,68.0,23.0,2015-01-23,False,Watford_57/squad/2016-17_squad.csv
2016-17,17127,Arsenal,Per Mertesacker,Per,Mertesacker,Germany,DE,1984-09-29,Germany,Right,198,90,4,2011-08-31,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,17336,Man City,Gaël Clichy,Gaël,Clichy,France,FR,1985-07-26,,,176,65,22.0,2011-07-04,False,Man_City_43/squad/2016-17_squad.csv
2016-17,17339,Southampton,Steven Davis,Steven,Davis,Northern Ireland,GB-NIR,1985-01-01,,,173,70,8.0,2012-07-22,False,Southampton_20/squad/2016-17_squad.csv
2016-17,17349,Everton,Aaron Lennon,Aaron,Lennon,England,GB-ENG,1987-04-16,England,Right,165,63,12.0,2015-09-01,False,Everton_11/squad/2016-17_squad.csv
2016-17,17476,Man City,Vincent Kompany,Vincent,Kompany,Belgium,BE,1986-04-10,Belgium,,193,85,4.0,2008-08-22,False,Man_City_43/squad/2016-17_squad.csv
2016-17,17740,Man City,Jesús Navas,Jesús,Navas,Spain,ES,1985-11-21,Spain,Right,172,60,15.0,2013-07-01,False,Man_City_43/squad/2016-17_squad.csv
2016-17,17745,Leicester,Kasper Schmeichel,Kasper,Schmeichel,Denmark,DK,1986-11-05,,Right,189.0,89.0,1,2011-06-27,False,Leicester_13/squad/2016-17_squad.csv
2016-17,17761,Burnley,James Tarkowski,James,Tarkowski,England,GB-ENG,1992-11-19,,,185,81,5.0,2016-02-01,False,Burnley_90/squad/2016-17_squad.csv
2016-17,17878,Chelsea,Cesc Fàbregas,Cesc,Fàbregas,Spain,ES,1987-05-04,Spain,Right,180,77,4.0,2014-06-12,False,Chelsea_8/squad/2016-17_squad.csv
2016-17,17997,Stoke,Phil Bardsley,Phil,Bardsley,Scotland,GB-SCT,1985-06-28,,,180.0,74.0,2,2014-07-01,False,Stoke_110/squad/2016-17_squad.csv
2016-17,18008,West Brom,James Morrison,James,Morrison,Scotland,GB-SCT,1986-05-25,,,178.0,64.0,7,2007-08-07,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,18073,West Ham,Mark Noble,Mark,Noble,England,GB-ENG,1987-05-08,,,180.0,70.0,16.0,2003-07-01,False,West_Ham_21/squad/2016-17_squad.csv
2016-17,18155,Palace,Mathieu Flamini,Mathieu,Flamini,France,FR,1984-03-07,France,Right,178.0,67.0,4,2016-09-08,False,Palace_31/squad/2016-17_squad.csv
2016-17,18267,Everton,Aiden McGeady,Aiden,McGeady,Ireland,IE,1986-04-04,,,180,72,7.0,2014-01-11,False,Everton_11/squad/2016-17_squad.csv
2016-17,18507,Chelsea,Diego Costa,Diego,Da Silva Costa,Spain,ES,1988-10-07,Brazil,Right,188,83,19.0,2014-07-15,False,Chelsea_8/squad/2016-17_squad.csv
2016-17,18656,Watford,Heurelho Gomes,Heurelho,Gomes,Brazil,BR,1981-02-15,Brazil,Right,191.0,91.0,1.0,2014-07-01,False,Watford_57/squad/2016-17_squad.csv
2016-17,18726,Bournemouth,Artur Boruc,Artur,Boruc,Poland,PL,1980-02-20,Poland,Right,193.0,87.0,1.0,2015-07-01,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,18759,West Ham,Álvaro Arbeloa,Álvaro,Arbeloa,Spain,ES,1983-01-17,Spain,Right,184.0,79.0,5.0,2016-08-31,False,West_Ham_21/squad/2016-17_squad.csv
2016-17,18805,Palace,Joe Ledley,Joe,Ledley,Wales,GB-WLS,1987-01-23,Wales,,183.0,73.0,16,2014-01-31,False,Palace_31/squad/2016-17_squad.csv
2016-17,18892,Man Utd,Ashley Young,Ashley,Young,England,GB-ENG,1985-07-09,,,175.0,65.0,18.0,2011-06-23,False,Man_Utd_1/squad/2016-17_squad.csv
2016-17,18987,West Ham,Robert Snodgrass,Robert,Snodgrass,Scotland,GB-SCT,1987-09-07,,,182.0,82.0,11.0,2017-01-27,False,West_Ham_21/squad/2016-17_squad.csv
2016-17,19057,Sunderland,Sebastian Larsson,Sebastian,Larsson,Sweden,SE,1985-06-06,,,178.0,70.0,7,2011-07-01,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,19101,Middlesbrough,Dimitrios Konstantopoulos,Dimitrios,Konstantopoulos,Greece,GR,1978-11-29,,,193,90,1.0,2013-08-16,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,19115,Hull,Curtis Davies,Curtis,Davies,England,GB-ENG,1985-03-15,,,188.0,76.0,6,2013-07-01,False,Hull_88/squad/2016-17_squad.csv
2016-17,19151,West Brom,Chris Brunt,Chris,Brunt,Northern Ireland,GB-NIR,1984-12-14,,,185.0,84.0,11,2007-08-15,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,19159,Everton,Ashley Williams,Ashley,Williams,Wales,GB-WLS,1984-08-23,,,183,77,5.0,2016-08-10,False,Everton_11/squad/2016-17_squad.csv
2016-17,19188,Palace,Scott Dann,Scott,Dann,England,GB-ENG,1987-02-14,,,188.0,76.0,6,2014-01-31,False,Palace_31/squad/2016-17_squad.csv
2016-17,19197,Palace,Jason Puncheon,Jason,Puncheon,England,GB-ENG,1986-06-26,,,173.0,70.0,42,2014-01-31,False,Palace_31/squad/2016-17_squad.csv
2016-17,19272,West Brom,Gareth McAuley,Gareth,McAuley,Northern Ireland,GB-NIR,1979-12-05,,,191.0,90.0,23,2011-07-01,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,19419,Chelsea,Gary Cahill,Gary,Cahill,England,GB-ENG,1985-12-19,England,,193,86,24.0,2012-01-16,False,Chelsea_8/squad/2016-17_squad.csv
2016-17,19524,Arsenal,Santiago Cazorla,Santiago,Cazorla,Spain,ES,1984-12-13,Spain,Both,168,66,19,2012-08-07,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,19568,Stoke,Ibrahim Afellay,Ibrahim,Afellay,Netherlands,NL,1986-04-02,Netherlands,Right,180.0,76.0,14,2015-07-27,False,Stoke_110/squad/2016-17_squad.csv
2016-17,19687,Hull,Alex Bruce,Alex,Bruce,Northern Ireland,GB-NIR,1984-09-28,England,,180.0,73.0,4,2012-07-29,False,Hull_88/squad/2016-17_squad.csv
2016-17,19760,Swansea,Fernando Llorente,Fernando,Llorente,Spain,ES,1985-02-26,Spain,Both,193,90.0,9,2016-08-05,False,Swansea_80/squad/2016-17_squad.csv
2016-17,20037,Bournemouth,Marc Pugh,Marc,Pugh,England,GB-ENG,1987-04-02,,,180.0,72.0,7.0,2010-07-01,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,20046,Watford,Stefano Okaka,Stefano,Okaka,Italy,IT,1989-08-09,Italy,Right,186.0,82.0,33.0,2016-08-29,False,Watford_57/squad/2016-17_squad.csv
2016-17,20047,Middlesbrough,Jordan Rhodes,Jordan,Rhodes,Scotland,GB-SCT,1990-02-05,Scotland,,185,71,9.0,2016-02-01,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,20066,Palace,Wayne Hennessey,Wayne,Hennessey,Wales,GB-WLS,1987-01-24,,,198.0,90.0,13,2014-01-31,False,Palace_31/squad/2016-17_squad.csv
2016-17,20145,Watford,Adrian Mariappa,Adrian,Mariappa,Jamaica,JM,1986-10-03,England,Right,180.0,78.0,6.0,2016-08-30,False,Watford_57/squad/2016-17_squad.csv
2016-17,20208,Stoke,Charlie Adam,Charlie,Adam,Scotland,GB-SCT,1985-12-10,,,185.0,83.0,16,2012-08-31,False,Stoke_110/squad/2016-17_squad.csv
2016-17,20310,Man City,Willy Caballero,Willy,Caballero,Argentina,AR,1981-09-28,Argentina,Right,186,80,13.0,2014-07-08,False,Man_City_43/squad/2016-17_squad.csv
2016-17,20399,Middlesbrough,Antonio Barragán,Antonio,Barragán,Spain,ES,1987-06-12,Spain,Right,182,76,17.0,2016-07-16,False,Middlesbrough_25/squad/2016-17_squad.csv
2016-17,20452,Southampton,Shane Long,Shane,Long,Ireland,IE,1987-01-22,Republic of Ireland,,178,81,7.0,2014-08-14,False,Southampton_20/squad/2016-17_squad.csv
2016-17,20467,Arsenal,Theo Walcott,Theo,Walcott,England,GB-ENG,1989-03-16,England,Right,176,68,14,2006-01-20,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,20481,Stoke,Stephen Ireland,Stephen,Ireland,Ireland,IE,1986-08-22,,,173.0,67.0,7,2014-01-14,False,Stoke_110/squad/2016-17_squad.csv
2016-17,20487,Sunderland,Vito Mannone,Vito,Mannone,Italy,IT,1988-03-02,,,188.0,77.0,1,2013-07-03,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,20658,Man City,Pablo Zabaleta,Pablo,Zabaleta,Argentina,AR,1985-01-16,Argentina,Right,176,74,5.0,2008-08-31,False,Man_City_43/squad/2016-17_squad.csv
2016-17,20664,Man City,David Silva,David,Silva,Spain,ES,1986-01-08,Spain,,173,67,21.0,2010-07-01,False,Man_City_43/squad/2016-17_squad.csv
2016-17,20695,Man Utd,Antonio Valencia,Luis Antonio,Valencia,Ecuador,EC,1985-08-04,Ecuador,Right,180.0,83.0,25.0,2009-07-01,False,Man_Utd_1/squad/2016-17_squad.csv
2016-17,21083,Swansea,Nathan Dyer,Nathan,Dyer,England,GB-ENG,1987-11-29,,,165,60.0,12,2009-07-01,False,Swansea_80/squad/2016-17_squad.csv
2016-17,21123,Watford,Valon Behrami,Valon,Behrami,Switzerland,CH,1985-04-19,Kosovo,Right,185.0,78.0,,2015-07-11,False,Watford_57/squad/2016-17_squad.csv
2016-17,21205,Burnley,Tom Heaton,Tom,Heaton,England,GB-ENG,1986-04-15,,,188,85,1.0,2013-07-01,False,Burnley_90/squad/2016-17_squad.csv
2016-17,21246,Bournemouth,Lewis Grabban,Lewis,Grabban,England,GB-ENG,1988-01-12,,,183.0,78.0,28.0,2016-01-11,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,26719,Watford,Rene Gilmartin,Rene,Gilmartin,Ireland,IE,1987-05-31,,,196.0,101.0,13.0,2014-08-25,False,Watford_57/squad/2016-17_squad.csv
2016-17,26901,Everton,Kevin Mirallas,Kevin,Mirallas,Belgium,BE,1987-10-05,,Right,182,72,11.0,2012-08-19,False,Everton_11/squad/2016-17_squad.csv
2016-17,26921,Everton,Arouna Koné,Arouna,Koné,Cote d’Ivoire,CI,1983-11-11,Côte d'Ivoire,Right,181,78,9.0,2013-07-08,False,Everton_11/squad/2016-17_squad.csv
2016-17,27334,Arsenal,Mathieu Debuchy,Mathieu,Debuchy,France,FR,1985-07-28,France,Right,176,76,2,2014-07-17,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,27341,Palace,Yohan Cabaye,Yohan,Cabaye,France,FR,1986-01-14,France,,174.0,71.0,7,2015-07-10,False,Palace_31/squad/2016-17_squad.csv
2016-17,27707,Sunderland,Darron Gibson,Darron,Gibson,Ireland,IE,1987-10-25,,,183.0,90.0,24,2017-01-30,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,27789,Man City,Fernandinho,Fernando,Luiz Rosa,Brazil,BR,1985-05-04,Brazil,Right,179,67,25.0,2013-07-01,False,Man_City_43/squad/2016-17_squad.csv
2016-17,28160,Watford,Mario Suárez,Mario,Suárez,Spain,ES,1987-02-24,Spain,Right,188.0,80.0,,2016-01-30,False,Watford_57/squad/2016-17_squad.csv
2016-17,28244,Burnley,George Boyd,George,Boyd,Scotland,GB-SCT,1985-10-02,,,186,79,21.0,2014-09-01,False,Burnley_90/squad/2016-17_squad.csv
2016-17,28448,Sunderland,Lee Cattermole,Lee,Cattermole,England,GB-ENG,1988-03-21,,,178.0,76.0,6,2009-08-12,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,28468,West Brom,Craig Gardner,Craig,Gardner,England,GB-ENG,1986-11-25,,,178.0,76.0,8,2014-07-01,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,28541,Palace,Fraizer Campbell,Fraizer,Campbell,England,GB-ENG,1987-09-13,,,172.0,82.0,9,2014-07-25,False,Palace_31/squad/2016-17_squad.csv
2016-17,28554,Man City,Samir Nasri,Samir,Nasri,France,FR,1987-06-26,,,175,75,11.0,2011-08-24,False,Man_City_43/squad/2016-17_squad.csv
2016-17,28593,Sunderland,Victor Anichebe,Victor,Anichebe,Nigeria,NG,1988-04-23,,,191.0,85.0,28,2016-09-03,False,Sunderland_56/squad/2016-17_squad.csv
2016-17,28654,Swansea,Martin Olsson,Martin,Olsson,Sweden,SE,1988-05-17,,,178,81.0,16,2017-01-17,False,Swansea_80/squad/2016-17_squad.csv
2016-17,32259,West Ham,Darren Randolph,Darren,Randolph,Ireland,IE,1987-05-12,,,188.0,98.0,1.0,2015-07-01,False,West_Ham_21/squad/2016-17_squad.csv
2016-17,32318,Bournemouth,Marc Wilson,Marc,Wilson,Ireland,IE,1987-08-17,Northern Ireland,,188.0,80.0,,2016-08-15,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,32318,West Brom,Marc Wilson,Marc,Wilson,Ireland,IE,1987-08-17,Northern Ireland,,188.0,80.0,12,2017-01-31,True,West_Brom_35/squad/2016-17_squad.csv
2016-17,33148,Man City,Claudio Bravo,Claudio,Bravo,Chile,CL,1983-04-13,Chile,Right,184,80,1.0,2016-08-25,False,Man_City_43/squad/2016-17_squad.csv
2016-17,33871,Liverpool,Ragnar Klavan,Ragnar,Klavan,Estonia,EE,1985-10-30,Estonia,Left,187.0,85.0,17,2016-07-20,False,Liverpool_14/squad/2016-17_squad.csv
2016-17,37096,Swansea,Lukasz Fabianski,Lukasz,Fabianski,Poland,PL,1985-04-18,Poland,Right,190,83.0,1,2014-07-01,False,Swansea_80/squad/2016-17_squad.csv
2016-17,37265,Arsenal,Alexis Sánchez,Alexis,Sánchez,Chile,CL,1988-12-19,Chile,Both,169,62,7,2014-07-10,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,37339,Hull,Ahmed El Mohamady,Ahmed Eissa,El Mohamady Abdel Fattah,Egypt,EG,1987-09-09,Egypt,,182.0,75.0,27,2013-07-01,False,Hull_88/squad/2016-17_squad.csv
2016-17,37342,Bournemouth,Rhoys Wiggins,Rhoys,Wiggins,Wales,GB-WLS,1987-11-04,England,,173.0,72.0,29.0,2016-02-01,False,Bournemouth_91/squad/2016-17_squad.csv
2016-17,37388,Leicester,Marcin Wasilewski,Marcin,Wasilewski,Poland,PL,1980-06-09,Poland,Right,186.0,88.0,27,2013-09-17,False,Leicester_13/squad/2016-17_squad.csv
2016-17,37402,Leicester,Christian Fuchs,Christian,Fuchs,Austria,AT,1986-04-07,Austria,Left,187.0,89.0,28,2015-07-01,False,Leicester_13/squad/2016-17_squad.csv
2016-17,37572,Man City,Sergio Agüero,Sergio,Agüero,Argentina,AR,1988-06-02,Argentina,Both,173,70,10.0,2011-07-27,False,Man_City_43/squad/2016-17_squad.csv
2016-17,37605,Arsenal,Mesut Özil,Mesut,Özil,Germany,DE,1988-10-15,Germany,Left,180,76,11,2013-09-02,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,37642,West Brom,Jonny Evans,Jonny,Evans,Northern Ireland,GB-NIR,1988-01-03,,,188.0,77.0,6,2015-08-29,False,West_Brom_35/squad/2016-17_squad.csv
2016-17,37742,Watford,Younes Kaboul,Younes,Kaboul,France,FR,1986-01-04,,,193.0,87.0,4.0,2016-08-19,False,Watford_57/squad/2016-17_squad.csv
2016-17,37748,Man City,Bacary Sagna,Bacary,Sagna,France,FR,1983-02-14,France,Right,176,72,3.0,2014-07-01,False,Man_City_43/squad/2016-17_squad.csv
2016-17,37869,Stoke,Ryan Shawcross,Ryan,Shawcross,England,GB-ENG,1987-10-04,,,191.0,76.0,17,2008-01-01,False,Stoke_110/squad/2016-17_squad.csv
2016-17,37915,Spurs,Hugo Lloris,Hugo,Lloris,France,FR,1986-12-26,France,,188.0,78.0,1.0,2012-08-31,False,Spurs_6/squad/2016-17_squad.csv
2016-17,37998,Swansea,Bafétimbi Gomis,Bafétimbi,Gomis,France,FR,1985-08-06,,,184,77.0,18,2014-07-01,False,Swansea_80/squad/2016-17_squad.csv
2016-17,38038,Leicester,Ben Hamer,Ben,Hamer,England,GB-ENG,1987-11-20,,,192.0,91.0,12,2014-07-01,False,Leicester_13/squad/2016-17_squad.csv
2016-17,38290,Spurs,Danny Rose,Danny,Rose,England,GB-ENG,1990-07-02,,,173.0,72.0,3.0,2007-07-26,False,Spurs_6/squad/2016-17_squad.csv
2016-17,38411,Arsenal,Nacho Monreal,Nacho,Monreal,Spain,ES,1986-02-26,Spain,Left,179,72,18,2013-01-31,False,Arsenal_3/squad/2016-17_squad.csv
2016-17,38419,Chelsea,Loïc Remy,Loïc,Remy,France,FR,1987-01-02,France,Right,185,80,18.0,2014-08-31,False,Chelsea_8/squad/2016-17_squad.csv
2016-17,38419,Palace,Loïc Remy,Loïc,Remy,France,FR,1987-01-02,France,Right,185.0,80.0,8,2016-08-30,True,Palace_31/squad/2016-17_squad.csv
2016-17,38439,Watford,Etienne Capoue,Etienne,Capoue,France,FR,1988-07-11,,,189.0,80.0,29.0,2015-07-06,False,Watford_57/squad/2016-17_squad.csv
2016-17,38454,Liverpool,Dejan Lovren,Dejan,Lovren,Croatia,HR,1989-07-05,Bosnia and Herzegovina,Both,188.0,84.0,6,2014-07-27,False,Liverpool_14/squad/2016-17_squad.csv
2016-17,38580,West Ham,José Fonte,José Miguel,da Rocha Fonte,Portugal,PT,1983-12-22,Portugal,Right,187.0,81.0,4.0,2017-01-20,False,West_Ham_21/squad/2016-17_squad.csv
2016-17,39104,Spurs,Mousa Dembélé,Mousa,Dembélé,Belgium,BE,1987-07-16,Belgium,,185.0,82.0,19.0,2012-08-29,False,Spurs_6/squad/2016-17_squad.csv
